origin,dev,value
2007,6,3406000000
2010,7,4592000000
2015,2,5573000000
2017,3,6125000000
2008,8,3742000000
2014,4,4771000000
2005,10,3043000000
2004,8,2786000000
2012,8,4673000000
2013,2,4602000000
2012,4,4700000000
2007,10,3408000000
2004,10,2772000000
2006,7,3119000000
2003,10,2470000000
2018,1,6356000000
2009,3,3800000000
2006,6,3145000000
2014,5,4776000000
2008,6,3729000000
2003,9,2498000000
2007,9,3420000000
2016,2,5635000000
2008,10,3731000000
2014,1,4790000000
2008,9,3724000000
2011,3,4353000000
2019,1,6934000000
2013,3,4601000000
2006,10,3142000000
2007,8,3410000000
2013,6,4585000000
2010,6,4609000000
2012,7,4669000000
2015,4,5576000000
2010,5,4597000000
2005,8,3044000000
2010,9,4616000000
2011,2,4333000000
2011,4,4353000000
2011,8,4333000000
2009,10,3787000000
2009,9,3786000000
2013,7,4590000000
2009,6,3762000000
2013,4,4595000000
2014,3,4775000000
2009,5,3761000000
2008,7,3730000000
2005,7,3085000000
2013,5,4583000000
2011,5,4358000000
2011,7,4332000000
2010,8,4615000000
2006,9,3134000000
2014,2,4783000000
2016,1,5616000000
2016,4,5658000000
2014,6,4810000000
2004,9,2779000000
2011,6,4343000000
2010,10,4606000000
2015,3,5563000000
